"SongName","ArtistName","AlbumName"
"Flaming","Syd Barrett","Magnesium Proverbs"
"Arnold Layne","Syd Barrett","Magnesium Proverbs"
"Weekend Starts Here","Fatboy Slim","Chillout Album 2"
"Venus in Furs","The Velvet Underground","The Velvet Underground & Nico"
"Dark Star","Grateful Dead","Grateful Dead"
"Spare Chaynge","Jefferson Airplane","After Bathing at Baxter's"
"Season Of The Witch","Donovan","Summer Of Love: FM [Disc 2]"
"When I Was Young","The Animals","Retrospective"
"Bass Strings","Country Joe and the Fish","The Life And Times Of Country"
"Translucent Carriages","Pearls Before Swine","Balaklava"
"Other Side Of The Sky","Gong","Angel's Egg: Radio Gnome Invisible, Part 2"
"Parable of Arable Land","The Red Krayola","The Parable of Arable Land"
"Comin' Back to Me","Jefferson Airplane","Surrealistic Pillow"
"Beacon From Mars","Kaleidoscope","Beacon From Mars"
"At The Mountains Of Madness","HP Lovecraft","Two Classic Albums From"
"Always Crashing in the Same Car","David Bowie","Low"
"Speed Of Life","David Bowie","Low"
"Body Bounce","Akon","Stadium"
"Corporal Clegg","TSB","TSB"
"See Emily Play","Syd Barrett","Magnesium Proverbs"
"Walk Idiot Walk","The Hives","Tyrannosaurus Hives"
"Land Down Under","Men at Work","Contraband: The Best of Men at Work"
"Who Can It Be Now? (Album Version)","Men at Work","Now That's What I Call The 80s"
"Overkil","Men at Work","Contraband: The Best of Men at Work"
"Thunder Island","Jay Ferguson","Thunder Island"
"First of Da Month","Bone Thugs-n-Harmony",""
"Hail Mary","2Pac","Greatest Hits"
"Strange Kind of Woman","Deep Purple","24 Carat Purple"
"I'm So Glad","Cream","Martin Scorsese Presents The Blues"
"I Saw You & Him Walking In The","Oran Juice Jones","Unknown Album"
"The Barbarian","Emerson, Lake & Palmer","Emerson, Lake & Palmer"
"My Old School","Steely Dan","Countdown to Ecstasy"
"Iâ€™ve Lost My Baby","Fleetwood Mac","English Rose"
"Golden Slumbers, Carry That Weight, The End","Phil Collins","In My Life"
"Seven Stars","Air","Le Voyage Dans La Lune"
"The Witch Queen Of New Orleans","Redbone","Billboard Top 100 of 1972"
"Sister Golden Hair","America","Classic Rock 70's Disc 1"
"Daysleeper","REM","Best of REM 1988-2003"
"The Sidewinder Sleeps Tonite","R.E.M.","In Time: The Best of R.E.M. 1988-2003"
"Someone Saved My Life Tonight","Elton John","Love Songs"
"Clothes Line Saga","Bob Dylan","The Basement Tapes"
"Yazoo Street Scandal","Bob Dylan","The Basement Tapes"
"Million Dollar Bash","Bob Dylan","The Basement Tapes"
"Orange Juice Blues","Bob Dylan","The Basement Tapes"
"Crime of the Century","Supertramp","Crime of the Century"
"Bloody Well Right","Supertramp","Crime of the Century"
"School","Supertramp","Crime of the Century"
"Boxer","Simon & Garfunkel","Simon and Garfunkel Greatest H"
"The Sound Of Silence","Simon & Garfunkel","Watchmen [2009]"
"Say Hello To Heaven","Temple of the Dog","Temple of the Dog"
"Your Love Is Driving Me Crazy","Sammy Hagar","Three Lock Box"
"Mmm Mmm Mmm","Crash Test Dumies","God Shuffled His Feel"
"Oh Darling","Supertramp","Breakfast in America"
"In My Own Time","Bee Gees","Bee Gees' 1st"
"Ride My See-Saw","The Moody Blues","Greatest Hits"
"The Logical Song","Supertramp","The Very Best of Supertramp"
"Daughter","Bread","Baby I'm-A Want You"
"Without Judgement","Death","Symbolic"
"Symbolic","Death","Symbolic"
"God Knows I'm Good","David Bowie","Bowie at Beeb: Best of BBC Radio 68-72"
"Handle With Care","Jeff Lynne, Tom Petty & The Heartbreakers, Dhani Harrison","Concert For George [Disc 2]"
"This Is Where I Came In","Bee Gees","This Is Where I Came In"
"Jive Talkin'","Bee Gees","Their Greatest Hits: The Record"
"Photograph","Def Leppard","Vault: Greatest Hits 1980-1995"
"Hold On Loosely","38 Special","Flashback: The Best of .38 Special"
"The Sky is Burning","Bad Company","Bad Company"
"Bye Bye Love","The Cars","Complete Greatest Hits"
"Burning of the Midnight Lamp","Hendrix","Electric Ladyland"
"Ticket to Ride","Vanilla Fudge","Vanilla Fudge"
"Take It on the Run","REO Speedwagon","The Ballads"
"Animal (Extended Version)","Def Leppard","Hysteria"
"You're The Best","Joe Esposito","YTMND Soundtrack - Volume 02"
"Your Time Is Gonna Come","Vanilla Fudge","Out Through the In Door"
"Strange Magic","ELO","Elo's Greatest Hits"
"Human","Human League","The Greatest Hits"
"Keep On Loving You (Album Version)","REO Speedwagon","Hits"
"Rockin Into The Night","38 Special","Flashback: The Best of .38 Special"
"Let Me Go (extended 12'' mix)","Heaven 17","Richard Blade's Flashback Favorites"
"Rock Rock (Till You Drop)","Def Leppard","Pyromania"
"Head Over Heels","Tears for Fears","Shout: The Very Best of Tears for Fears"
"Mr Blue Sky","ELO","Elo's Greatest Hits"
"Telephone Line","ELO","ELO Classics"
"Turn To Stone","ELO","All Over the World - The Very Best of Electric Light Orchestra"
"Don't Bring Me Down","ELO","All Over the World - The Very Best of Electric Light Orchestra"
"The Conqueror","Genesis","The Peter Gabriel Years"
"Nothing Left To Lose (Basic Backing Track)","The Alan Parsons Project","The Turn of a Friendly Card"
"Stranger In The City","John Miles","Stranger In The City"
"Urgent","Foreigner","80's Giga Hits Collection"
"Burden in My Hand","Soundgarden","Down on the Upside"
"Call of the Wild","The Amboy Dukes","Call of the Wild"
"California Dreamin'","The Beach Boys","Original Gold"
"Da Dip","Freak Nasty","Promo Only: Mainstream Radio, April 1997"
"My Life","Billy Joel","Greatest Hits Vol 1 & 2"
"Camouflage","Brad Paisley","This is Country Music"
"Remote Control","The Age of Electric","Make a Pest a Pet"
"I Don't Mind","The Age of Electric","Make a Pest a Pet"
"Take the Money and Run","Steve Miller Band","Live USA 1990"
"Hungry Like the Wolf","Duran Duran","Rio"
"In The Meantime","Space Hog","Resident Alien"
"Dark Star","Crosby, Stills & Nash","Allies"
"American Dream","Crosby, Stills, Nash & Young","American Dream"
"Sit Down I Think I Love You","Buffalo Springfield","Buffalo Springfield"
"Ruby, Don't Take Your Love To Town","Kenny Rogers & The First Edition","42 Ultimate Hits"
"Feels So Good","Van Halen","The Best of Both Worlds"
"Hot Girls in Love","Loverboy","Loverboy Classics: Their Greatest Hits"
"Eat Your Hart Out, Rick Springfield","Jimmy Hart","The Wrestling Album"
"Had to Phone Ya","The Beach Boys","Good Vibrations: Thirty Years of the Beach Boys"
"It's A Shame","Spinners","Absolute Soul Classics"
"Mammagamma","The Alan Parsons Project","Eye in the Sky"
"Close To The Edge","Yes","Close To The Edge (Remastered And Expanded)"
"Siberian Khatru","Yes","Close To The Edge (Remastered And Expanded)"
"Yankee Rose","David Lee Roth","Sonrisa Salvaje"
"In My Dreams","Dokken","Alone Again and Other Hits"
"Sour Suite","The Guess Who","Running Back Thru Canada"
"No Time","Guess Who","The Greatest Of The Guess Who"
"What About Me?","Quicksilver Messenger Service","Positively '60s (Disc 1)"
"(We Ain't Got) Nothin' Yet","The Blues Magoos","Nuggets: Original Artyfacts From the First Psychedelic Era, 1965-1968 (disc 2)"
"We Ain't Got Nothin' Yet","The Blues Magoos","Nuggets: Original Artyfacts From The First Psychedelic Era, Vol. 2"
