"SongName","ArtistName","AlbumName"
"Them Bones","Alice in Chains","Dirt"
"Rooster","Alice in Chains","Dirt"
"Tired of Being Alive","Danzig","Danzig II: Lucifuge"
"Lucky Man","Emerson, Lake & Palmer",""
"Fire & Rain","James Taylor","James Taylor: Greatest Hits"
"Let It All Fall Down","James Taylor","Walking Man"
"You Didn't Have To Be So Nice","The Lovin' Spoonful","AM Gold 1966"
"AKA... What a Life!","Noel Gallager","Noel Gallagher’s High Flying Birds"
"The Death Of You And Me","Noel Gallagher's High Flying Birds -","High Flying Birds"
"Alone On The Rope","Noel Gallagher's High Flying Birds -","High Flying Birds"
"Subdivisions","Rush","The Spirit of Radio: Greatest Hits 1974-1987"
"The Fastest Guitar Alive [From The Fastest Guitar Alive]","Roy Orbison","The Legendary Roy Orbison"
"West End Girls","Pet Shop Boys","Pet Shop Boys"
"Jackie Blue","The Ozark Mountain Daredevils","'70s Music Explosion: Escape"
"The Baying of the Hounds","Opeth","Ghost Reveries"
"Whispering Pines","Work in progress","A Musical History Disc 3"
"Leavin'","Texas Hippie Coalition","Pride of Texas"
"Deacon Blues","Steely Dan","Showbiz Kids: The Steely Dan Story"
"Hangman Hang My Shell on a Tree","Spooky Tooth","Spooky Two"
"Just Like Paradise","David Lee Roth","Best Of David Lee Roth"
"You Were Never There","Diego Garcia","Laura"
"Ordinary Average Guy","Joe Walsh","Greatesthits"
"Theme From Boat Weirdos","Joe Walsh","\"But Seriously, Folks...\""
"Fight the Good Fight","Triumph","Classics"
"The Warmth Of The Sun","Willie Nelson & The Beach Boys","Stars And Stripes, Vol. 1"
"Use it","The New Pornographers","Promo Only Modern Rock October 2005"
"01-Gravity Lane","Béla Fleck and The Flecktones","Rocket Science"
